dataset,run,reader,K,rotation,negative_type,request_tokens_total,request_tokens_mean,response_tokens_total,response_tokens_mean
e2ewtq,2nd,claude-haiku-4-5,40,end,soft,4374067,18301.54,39190,163.97
e2ewtq,2nd,claude-haiku-4-5,40,middle,hard,4684042,19598.50,41204,172.40
e2ewtq,2nd,claude-haiku-4-5,40,middle,soft,4374067,18301.54,39397,164.84
e2ewtq,2nd,claude-haiku-4-5,40,start,hard,4684042,19598.50,36180,151.38
e2ewtq,2nd,claude-haiku-4-5,40,start,soft,4374067,18301.54,33172,138.79
e2ewtq,2nd,claude-haiku-4-5,50,end,hard,5845532,24458.29,41032,171.68
e2ewtq,2nd,claude-haiku-4-5,50,end,soft,5463450,22859.62,39505,165.29
e2ewtq,2nd,claude-haiku-4-5,50,middle,hard,5845532,24458.29,41916,175.38
e2ewtq,2nd,claude-haiku-4-5,50,middle,soft,5463450,22859.62,39345,164.62
e2ewtq,2nd,claude-haiku-4-5,50,start,hard,5845532,24458.29,35592,148.92
e2ewtq,2nd,claude-haiku-4-5,50,start,soft,5463450,22859.62,32109,134.35
e2ewtq,2nd,gpt-4o,1,perfect,perfect,142706,597.10,25177,105.34
e2ewtq,2nd,gpt-4o,5,end,hard,670900,2807.11,36037,150.78
e2ewtq,2nd,gpt-4o,5,end,soft,647678,2709.95,22479,94.05
e2ewtq,2nd,gpt-4o,5,middle,hard,670900,2807.11,34606,144.79
e2ewtq,2nd,gpt-4o,5,middle,soft,647678,2709.95,25079,104.93
e2ewtq,2nd,gpt-4o,5,start,hard,670900,2807.11,33853,141.64
e2ewtq,2nd,gpt-4o,5,start,soft,657456,2750.86,22132,92.60
e2ewtq,2nd,gpt-4o,10,end,hard,1329457,5562.58,44894,187.84
e2ewtq,2nd,gpt-4o,10,end,soft,1281464,5361.77,29562,123.69
e2ewtq,2nd,gpt-4o,10,middle,hard,1329457,5562.58,47821,200.09
e2ewtq,2nd,gpt-4o,10,middle,soft,1281464,5361.77,31109,130.16
e2ewtq,2nd,gpt-4o,10,start,hard,1329457,5562.58,41462,173.48
e2ewtq,2nd,gpt-4o,10,start,soft,1299978,5439.24,27521,115.15
e2ewtq,2nd,gpt-4o,20,end,hard,2657784,11120.44,51395,215.04
e2ewtq,2nd,gpt-4o,20,end,soft,2600939,10882.59,34701,145.19
e2ewtq,2nd,gpt-4o,20,middle,hard,2657784,11120.44,57780,241.76
e2ewtq,2nd,gpt-4o,20,middle,soft,2600939,10882.59,36063,150.89
e2ewtq,2nd,gpt-4o,20,start,hard,2657784,11120.44,47473,198.63
e2ewtq,2nd,gpt-4o,20,start,soft,2600939,10882.59,31377,131.28
e2ewtq,2nd,gpt-4o,30,end,hard,3971612,16617.62,57342,239.92
