Dataset,Model,K,Score (Soft Avg) 1st,Score (Soft Avg) 2nd,Score (Soft Avg) 3rd,Score (Soft Avg Mean),Standard deviation (Soft),SEM (Soft),Score (Hard Avg) 1st,Score (Hard Avg) 2nd,Score (Hard Avg) 3rd,Score (Hard Avg Mean),Standard deviation (Hard),SEM (Hard),Score (BGE-m3) 1st,Score (BGE-m3) 2nd,Score (BGE-m3) 3rd,Score (BGE-m3 Avg mean),Standard deviation (BGE-m3),SEM (BGE-m3)
FeTaQA,claude-haiku-4-5,1,0.8785,0.8845,0.8948175910315759,0.8859391970105253,0.008253448388084252,0.004765130648603126,0.8785,0.8845,0.8948175910315759,0.8859391970105253,0.008253448388084252,0.004765130648603126,0.3922,0.3949,0.3995,0.3955,0.0037,0.0021
FeTaQA,claude-haiku-4-5,5,0.8373333333333334,0.824,0.8272986633832279,0.8295439989055203,0.006944464929006157,0.00400938869613962,0.7353333333333333,0.719,0.7221259953901566,0.7254864429078299,0.008669711649398833,0.005005460354576851,0.49,0.4792,0.4812,0.4835,0.0058,0.0033
FeTaQA,claude-haiku-4-5,10,0.7901666666666666,0.7855,0.7884281275328705,0.7880315980665124,0.0023584679683455513,0.0013616621163994138,0.68,0.6773333333333333,0.6697257631565936,0.6756863654966424,0.005331450362699031,0.0030781143020754136,0.5002,0.4982,0.4926,0.497,0.0039,0.0023
FeTaQA,claude-haiku-4-5,20,0.7523333333333334,0.7478333333333333,0.7395015383553113,0.7465560683406594,0.006510552586810991,0.00375886928856854,0.6458333333333334,0.6501666666666667,0.6536004971390171,0.6498668323796725,0.0038922530552141644,0.002247193349182041,0.5301,0.5337,0.5365,0.5335,0.0032,0.0019
FeTaQA,claude-haiku-4-5,30,0.7528333333333332,0.7266666666666667,0.7300122401724258,0.7365040800574753,0.014240140446321046,0.008221548919981534,0.6576666666666666,0.6325,0.6291034169908533,0.6397566945525066,0.01560318941377044,0.009008505608257084,0.5505,0.5294,0.5265,0.5355,0.0131,0.0075
FeTaQA,claude-haiku-4-5,40,0.7588333333333334,0.7148333333333333,0.7161686463881015,0.7299451043515894,0.02502684749453699,0.014449257137938643,0.668,0.6228333333333333,0.6236183091306965,0.6381505474880099,0.025853363576134047,0.014926446420138259,0.5778,0.5387,0.5394,0.5519,0.0224,0.0129
FeTaQA,claude-haiku-4-5,50,0.7563333333333334,0.7165,0.7130966735467483,0.7286433356266939,0.024040541538869833,0.01387981312893088,0.665,0.6233333333333333,0.623791104428535,0.6373748125872895,0.023925208949650535,0.013813225827498781,0.5676,0.532,0.5324,0.544,0.0204,0.0118
FeTaQA,gpt-oss-20b,1,0.6825,0.6785,0.6714835987641563,0.6774945329213855,0.00557660264694445,0.003219653039376958,0.6825,0.6785,0.6714835987641563,0.6774945329213855,0.00557660264694445,0.003219653039376958,0.3103,0.3085,0.3053,0.308,0.0025,0.0015
FeTaQA,gpt-oss-20b,5,0.6578333333333334,0.659,0.6662144642102091,0.6610159325145142,0.004539694551523984,0.0026209938713610496,0.5425,0.5348333333333334,0.5331480862128832,0.5368271398487389,0.004984578335834548,0.002877847643990853,0.3618,0.3567,0.3556,0.358,0.0033,0.0019
FeTaQA,gpt-oss-20b,10,0.6511666666666667,0.6315,0.638207452717491,0.6402913731280525,0.0099975740883782,0.005772102091168381,0.5096666666666666,0.5028333333333334,0.5004756619605714,0.5043252206535237,0.004773671302988395,0.0027560804118031417,0.3896,0.3844,0.3826,0.3855,0.0037,0.0021
FeTaQA,gpt-oss-20b,20,0.6353333333333334,0.6283333333333333,0.6353509198940235,0.6330058621868967,0.004046538241178049,0.002336269942830261,0.4951666666666667,0.4965,0.4956493349746765,0.4957720005471144,0.000675077459585608,0.00038975615301559954,0.3855,0.3865,0.3858,0.386,0.0005,0.0003
FeTaQA,gpt-oss-20b,30,0.6315,0.6283333333333334,0.6262499722984921,0.6286944352106084,0.002643575919276505,0.0015262692686175028,0.49933333333333335,0.4948333333333334,0.49377512966717446,0.4959805987779471,0.002951367564185962,0.0017039728576602954,0.4238,0.42,0.4191,0.421,0.0025,0.0014
FeTaQA,gpt-oss-20b,40,0.6256666666666667,0.6144999999999999,0.6214016139001926,0.620522760188953,0.005634971073167213,0.0032533520659688447,0.48616666666666664,0.4828333333333333,0.4847888143156475,0.48459627143854916,0.0016749872678378196,0.0009670543499753609,0.4174,0.4145,0.4162,0.416,0.0015,0.0008
FeTaQA,gpt-oss-20b,50,0.6161666666666666,0.6084999999999999,0.6153415190091445,0.613336061891937,0.004208424661457436,0.0024297351111567107,0.4916666666666667,0.488,0.49045240634514103,0.4900396910039359,0.0018678494521135085,0.0010784033839834292,0.439,0.4357,0.4379,0.4376,0.0017,0.001
FeTaQA,qwen3-32b,1,0.8795,0.865,0.8554933439455075,0.8666644479818357,0.012089568811287402,0.0069799158075832856,0.8795,0.865,0.8554933439455075,0.8666644479818357,0.012089568811287402,0.0069799158075832856,0.3861,0.3798,0.3756,0.3805,0.0053,0.0031
FeTaQA,qwen3-32b,5,0.8353333333333334,0.8380000000000001,0.8350905950534901,0.8361413094622745,0.001614242346860647,0.0009319832534972879,0.7428333333333333,0.7386666666666666,0.7420026655564206,0.7411675551854735,0.0022052969814801596,0.0012732288059006394,0.4805,0.4779,0.48,0.4795,0.0014,0.0008
FeTaQA,qwen3-32b,10,0.8198333333333334,0.8293333333333334,0.8269027607280677,0.8253564757982449,0.004935154284634649,0.0028493126547261497,0.6956666666666665,0.7014999999999999,0.7041928748367834,0.7004531805011499,0.004358432027394847,0.002516341904261102,0.513,0.5172,0.5192,0.5165,0.0032,0.0018
FeTaQA,qwen3-32b,20,0.8028333333333334,0.8036666666666666,0.7948563721218642,0.8004521240406214,0.004863942923525855,0.002808198756220628,0.66,0.653,0.660249457066865,0.6577498190222884,0.00411535451272685,0.002376001035733588,0.5308,0.5252,0.531,0.529,0.0033,0.0019
FeTaQA,qwen3-32b,30,0.7771666666666667,0.7678333333333334,0.7645795625852245,0.7698598541950749,0.006533673345949389,0.003772218065080963,0.63,0.6355000000000001,0.6383359302823018,0.6346119767607673,0.004238321881701801,0.002446996279312816,0.5356,0.5403,0.5427,0.5395,0.0036,0.0021
FeTaQA,qwen3-32b,40,0.757,0.7588333333333334,0.761195014834641,0.7590094493893248,0.0021030454142975706,0.0012141938360627105,0.6126666666666667,0.6208333333333333,0.6139201771951636,0.6158067257317211,0.0043980575424500635,0.002539219706045008,0.5358,0.5429,0.5368,0.5385,0.0038,0.0022
FeTaQA,qwen3-32b,50,0.7446666666666667,0.7363333333333334,0.7390823872262241,0.7400274624087414,0.004246290903431907,0.0024515971961538707,0.6016666666666667,0.6066666666666666,0.6037980644737554,0.6040437992690295,0.0025090414887374937,0.0014485957789305314,0.5414,0.5459,0.5433,0.5436,0.0023,0.0013
