dataset,reader,K,condition,score_display,std_display,nrr_display,source,provenance_class
OTTQA,claude-haiku-4-5,40,soft,0.361,0.002,0.996,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,40,bge_m3,0.355,0.016,1.058,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,50,hard,0.344,0.021,0.948,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,50,soft,0.361,0.005,0.996,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,claude-haiku-4-5,50,bge_m3,0.360,0.022,1.071,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,1,hard,0.324,0.005,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,1,soft,0.324,0.005,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,1,bge_m3,0.273,0.004,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,5,hard,0.300,0.019,0.926,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,5,soft,0.306,0.002,0.943,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,5,bge_m3,0.299,0.020,1.096,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,10,hard,0.301,0.022,0.930,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,10,soft,0.313,0.016,0.965,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,10,bge_m3,0.269,0.020,0.983,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,20,hard,0.278,0.010,0.860,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,20,soft,0.293,0.009,0.905,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,20,bge_m3,0.262,0.011,0.960,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,30,hard,0.296,0.026,0.913,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,30,soft,0.303,0.016,0.934,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,30,bge_m3,0.300,0.026,1.097,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,40,hard,0.291,0.025,0.898,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,40,soft,0.306,0.018,0.946,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,40,bge_m3,0.290,0.024,1.061,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,50,hard,0.292,0.028,0.901,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,50,soft,0.306,0.016,0.944,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,50,bge_m3,0.267,0.026,0.977,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
