dataset,reader,K,condition,score_display,input_tokens_display,output_tokens_display,published_cps,publication_precision_decimals,source,provenance_class
OTTQA,gpt-oss-20b,10,hard,0.3010527266657907,4190,1103,0.0006447375585987543,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,10,bge_m3,0.2687,4485,201,0.0004086,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,20,soft,0.29319412340858614,7912,860,0.0008330317032297226,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,20,hard,0.2784050461379896,8151,956,0.0009289343120304535,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,20,bge_m3,0.2624,8785,162,0.0007313,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,30,soft,0.3025802809242449,11807,1075,0.0011356985952631691,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,30,hard,0.295574050297696,12061,1228,0.0012315695496048,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,30,bge_m3,0.2999,13046,813,0.0011412,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,40,soft,0.3063153023575798,15684,1110,0.0013864145758681235,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,40,hard,0.2906484147692911,15975,1278,0.0015389727838531469,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,40,bge_m3,0.29,17236,550,0.0013784,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,50,soft,0.30555240834006486,19573,1151,0.0016578498030891762,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,50,hard,0.2916877906025978,19859,1322,0.0018148856998997248,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,gpt-oss-20b,50,bge_m3,0.2669,21431,198,0.0016802,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,1,soft,0.3493339783637636,534,1185,0.0024446806004960503,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,1,hard,0.3493339783637636,534,1185,0.0024446806004960503,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,1,bge_m3,0.3252,542,1121,0.0025163,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,5,soft,0.3596412745931144,2281,1204,0.0038144954345189198,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,5,hard,0.3561038708239939,2372,1521,0.004451706734700246,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,5,bge_m3,0.3261,2522,1449,0.0048638,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,10,soft,0.34306958763339024,4409,1213,0.005813048057559447,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,10,hard,0.3773920825155936,4633,1582,0.006033380416521902,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,10,bge_m3,0.3369,4983,1525,0.0069596,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,20,soft,0.36705382629859445,8810,1352,0.009133755759496457,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,20,hard,0.36986078827170354,9105,1790,0.00999443606139853,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,20,bge_m3,0.3356,9843,1526,0.011189,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,30,soft,0.28546222865918786,11528,1173,0.014135635453254993,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,30,hard,0.3597413151749667,13510,1638,0.013577311790346965,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,30,bge_m3,0.3365,14642,1522,0.0152883,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,40,soft,0.2711290993852254,15098,1257,0.01888417735908655,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,40,hard,0.3397528505741287,17919,1738,0.01831310609899496,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,40,bge_m3,0.3315,19367,1789,0.0201268,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,50,soft,0.2808001253394061,19444,1214,0.022631827504772724,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,50,hard,0.33039129380756044,22290,1638,0.022490059935804413,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,50,bge_m3,0.3189,24095,2002,0.0256142,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,1,soft,0.7751878295347397,476,52,0.002205916985340605,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,1,hard,0.7751878295347397,476,52,0.002205916985340605,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
FeTaQA,gpt-4o,1,bge_m3,0.3595,556,56,0.0054308,4,author-resolved camera-ready numeric source,CAMERA_READY_PAPER_FACING
